hypervisor_write_io_bandwidth_kBps, hypervisor_read_io_bandwidth_kBps, hypervisor_avg_write_io_latency_usecs, hypervisor_avg_read_io_latency_usecs, 
2019-01-31 10:00:00,2,0,0,0
2019-01-31 10:00:30,1,0,0,0
2019-01-31 10:01:00,2,0,0,0
2019-01-31 10:01:30,0,0,0,0
2019-01-31 10:02:00,2,0,0,0
2019-01-31 10:02:30,0,0,0,0
2019-01-31 10:03:00,3,0,0,0
2019-01-31 10:03:30,0,0,0,0
2019-01-31 10:04:00,2,0,0,0
2019-01-31 10:04:30,0,0,0,0
2019-01-31 10:05:00,4,0,0,0
2019-01-31 10:05:30,0,0,0,0
2019-01-31 10:06:00,5,13,0,0
2019-01-31 10:06:30,-1,-1,-1,-1
2019-01-31 10:07:00,159026,8547,47454,492
2019-01-31 10:07:30,195142,8283,53000,1000
2019-01-31 10:08:00,-1,-1,-1,-1
2019-01-31 10:08:30,97992,6860,53000,568
2019-01-31 10:09:00,9690,5594,63000,0
2019-01-31 10:09:30,5,5670,0,0
2019-01-31 10:10:00,9744,5600,71000,0
2019-01-31 10:10:30,4,5670,0,0
2019-01-31 10:11:00,9766,5606,78000,0
2019-01-31 10:11:30,8687,5536,51000,0
2019-01-31 10:12:00,9548,5517,63000,0
2019-01-31 10:12:30,9547,5745,52000,0
2019-01-31 10:13:00,9565,5523,69000,0
2019-01-31 10:13:30,9649,5606,46000,0
2019-01-31 10:14:00,9710,5606,58000,0
2019-01-31 10:14:30,9677,5549,52000,0
2019-01-31 10:15:00,9537,5472,75000,0
2019-01-31 10:15:30,9469,5459,71000,0
2019-01-31 10:16:00,9441,5529,58000,0
2019-01-31 10:16:30,9551,5498,66000,0
2019-01-31 10:17:00,9649,5587,67000,0
2019-01-31 10:17:30,9529,5510,64000,0
2019-01-31 10:18:00,9516,5492,61000,0
2019-01-31 10:18:30,9554,5453,81000,0
2019-01-31 10:19:00,9489,5555,75000,0
2019-01-31 10:19:30,9774,5613,77000,0
2019-01-31 10:20:00,9668,5574,76000,0
2019-01-31 10:20:30,9690,5542,71000,0
2019-01-31 10:21:00,9460,5511,72000,0
