hypervisor_num_write_iops, hypervisor_num_read_iops, 
2019-01-31 10:00:00,0,0
2019-01-31 10:00:30,0,0
2019-01-31 10:01:00,0,0
2019-01-31 10:01:30,0,0
2019-01-31 10:02:00,0,0
2019-01-31 10:02:30,0,0
2019-01-31 10:03:00,0,0
2019-01-31 10:03:30,0,0
2019-01-31 10:04:00,0,0
2019-01-31 10:04:30,0,0
2019-01-31 10:05:00,0,0
2019-01-31 10:05:30,0,0
2019-01-31 10:06:00,0,0
2019-01-31 10:06:30,-1,-1
2019-01-31 10:07:00,63,324
2019-01-31 10:07:30,60,393
2019-01-31 10:08:00,-1,-1
2019-01-31 10:08:30,51,197
2019-01-31 10:09:00,43,21
2019-01-31 10:09:30,44,0
2019-01-31 10:10:00,43,20
2019-01-31 10:10:30,44,0
2019-01-31 10:11:00,43,21
2019-01-31 10:11:30,43,17
2019-01-31 10:12:00,42,20
2019-01-31 10:12:30,53,19
2019-01-31 10:13:00,42,20
2019-01-31 10:13:30,43,20
2019-01-31 10:14:00,43,20
2019-01-31 10:14:30,43,20
2019-01-31 10:15:00,42,20
2019-01-31 10:15:30,42,20
2019-01-31 10:16:00,43,20
2019-01-31 10:16:30,42,20
2019-01-31 10:17:00,43,20
2019-01-31 10:17:30,43,20
2019-01-31 10:18:00,43,19
2019-01-31 10:18:30,42,20
2019-01-31 10:19:00,43,20
2019-01-31 10:19:30,43,20
2019-01-31 10:20:00,43,20
2019-01-31 10:20:30,43,20
2019-01-31 10:21:00,43,20
2019-01-31 10:21:30,43,20
2019-01-31 10:22:00,44,20
2019-01-31 10:22:30,43,20
2019-01-31 10:23:00,44,20
2019-01-31 10:23:30,44,20
2019-01-31 10:24:00,43,20
2019-01-31 10:24:30,43,20
2019-01-31 10:25:00,43,1
2019-01-31 10:25:30,46,20
2019-01-31 10:26:00,-1,-1
2019-01-31 10:26:30,183,45
2019-01-31 10:27:00,310,149
2019-01-31 10:27:30,344,288
2019-01-31 10:28:00,661,202
2019-01-31 10:28:30,-1,-1
2019-01-31 10:29:00,594,620
2019-01-31 10:29:30,550,277
2019-01-31 10:30:00,557,229
2019-01-31 10:30:30,350,289
2019-01-31 10:31:00,-1,-1
2019-01-31 10:31:30,381,260
2019-01-31 10:32:00,332,286
2019-01-31 10:32:30,304,324
2019-01-31 10:33:00,-1,-1
2019-01-31 10:33:30,374,248
2019-01-31 10:34:00,338,287
2019-01-31 10:34:30,366,260
2019-01-31 10:35:00,343,275
2019-01-31 10:35:30,228,98
2019-01-31 10:36:00,223,57
2019-01-31 10:36:30,242,88
2019-01-31 10:37:00,246,277
2019-01-31 10:37:30,154,236
2019-01-31 10:38:00,-1,-1
2019-01-31 10:38:30,186,192
2019-01-31 10:39:00,236,72
2019-01-31 10:39:30,247,286
2019-01-31 10:40:00,-1,-1
2019-01-31 10:40:30,330,74
2019-01-31 10:41:00,346,187
2019-01-31 10:41:30,235,162
2019-01-31 10:42:00,-1,-1
2019-01-31 10:42:30,288,143
2019-01-31 10:43:00,-1,-1
2019-01-31 10:43:30,527,31
2019-01-31 10:44:00,388,132
2019-01-31 10:44:30,365,171
2019-01-31 10:45:00,-1,-1
2019-01-31 10:45:30,450,63
2019-01-31 10:46:00,-1,-1
2019-01-31 10:46:30,446,120
2019-01-31 10:47:00,596,90
2019-01-31 10:47:30,37,276
2019-01-31 10:48:00,88,300
2019-01-31 10:48:30,17,1028
2019-01-31 10:49:00,0,351
2019-01-31 10:49:30,0,69
2019-01-31 10:50:00,0,87
2019-01-31 10:50:30,0,26
2019-01-31 10:51:00,0,1
2019-01-31 10:51:30,0,1
2019-01-31 10:52:00,0,2
2019-01-31 10:52:30,0,2
2019-01-31 10:53:00,0,2
2019-01-31 10:53:30,0,3
2019-01-31 10:54:00,0,6
2019-01-31 10:54:30,-1,-1
2019-01-31 10:55:00,0,5
2019-01-31 10:55:30,0,9
